iter	F1	Logloss
0	0	0.6167928729
1	0.04139813481	0.5685754676
2	0.04456683762	0.5333485708
3	0.08146769216	0.5104732807
4	0.09233305853	0.493988305
5	0.1236311922	0.4793911802
6	0.1356290024	0.472275322
7	0.1450555581	0.4674954309
8	0.1630954571	0.4595840065
9	0.1725825915	0.4568202258
10	0.2004807264	0.4505332993
11	0.2172327431	0.4461504718
12	0.2323238902	0.4426540254
13	0.2448077583	0.4408825441
14	0.2584126984	0.4383360991
15	0.2611945025	0.4375798429
16	0.2730174626	0.436461415
17	0.2794099366	0.4353487953
18	0.2900603523	0.4326510745
19	0.2985737571	0.4319397143
20	0.3026158248	0.4309506325
21	0.3057657293	0.4304183064
22	0.313430138	0.4291720817
23	0.3150613522	0.4286763021
24	0.3180791299	0.4281986919
25	0.3266448348	0.4261015749
26	0.3293940654	0.4255431665
27	0.3328401491	0.4251196716
28	0.3334450204	0.425083485
29	0.3350054097	0.4244575558
30	0.3395997099	0.4236759475
31	0.3430815214	0.4233394516
32	0.3483589813	0.4223092171
33	0.3538562749	0.4210136015
34	0.359093886	0.4201133437
35	0.3627539373	0.4190833152
36	0.3640057499	0.4187393924
37	0.3642632748	0.418721361
38	0.3692548182	0.4176202587
39	0.3702023859	0.4173214314
40	0.3756069803	0.4159427815
41	0.3791825778	0.4152809142
42	0.37985829	0.4149631888
43	0.3810854176	0.4147280115
44	0.3825087174	0.4142606004
45	0.3841735561	0.413982202
46	0.3841735561	0.4139821957
47	0.3853735611	0.413754061
48	0.3868436368	0.4131815247
49	0.3882249198	0.4127494757
50	0.3884978509	0.4124903685
51	0.3905972188	0.4120729536
52	0.3917321362	0.4117998807
53	0.3929218076	0.4112336908
54	0.3943714542	0.4109105397
55	0.3975414416	0.4101493615
56	0.3982052094	0.4098751037
57	0.3986827172	0.4098671211
58	0.398898871	0.4097808463
59	0.3991742761	0.4096870735
60	0.3999628149	0.4092508566
61	0.4006692072	0.4088146329
62	0.4017994906	0.4083808159
63	0.4031491384	0.4077016681
64	0.4043413729	0.4071735106
65	0.4051970197	0.4068962139
66	0.4086987048	0.4064304328
67	0.4097373573	0.406070194
68	0.4111949523	0.4052300399
69	0.4148093572	0.4044102312
70	0.415523685	0.4042533195
71	0.4162907591	0.4039075469
72	0.4173778693	0.4035213899
73	0.4182864709	0.4029995132
74	0.418906497	0.402860793
75	0.4193097872	0.4027433276
76	0.4196387557	0.4024267077
77	0.4200822683	0.4022904323
78	0.4212594088	0.4018721936
79	0.4215936416	0.4016175825
80	0.422593605	0.4012500827
81	0.4238070806	0.4006998039
82	0.4241380574	0.4004891346
83	0.4253231299	0.4001627514
84	0.4272785447	0.3991856852
85	0.4296766659	0.3985507811
86	0.4303663585	0.3983153404
87	0.4324363689	0.3978712257
88	0.4325869288	0.3976690175
89	0.433428535	0.3971781385
90	0.4330215801	0.3970074421
91	0.4344411316	0.3966956885
92	0.4344363636	0.3964419039
93	0.4362876862	0.3959747677
94	0.4366179275	0.3956128972
95	0.4369869979	0.3950385976
96	0.4384093465	0.3946889949
97	0.4399021473	0.3943140489
98	0.4407602689	0.39406351
99	0.4417131272	0.3938061279
100	0.4425066937	0.3936223478
101	0.4433958853	0.39338372
102	0.4435526149	0.393254547
103	0.444665102	0.392906269
104	0.4464369475	0.3925792384
105	0.4481230636	0.3921694747
106	0.4488142186	0.3918550417
107	0.4499540863	0.3912900494
108	0.4503141936	0.3910188141
109	0.4506793845	0.390831737
110	0.4511091521	0.3906293406
111	0.4514433806	0.3902727369
112	0.4522433994	0.3898638836
113	0.4524130979	0.3896615056
114	0.454054832	0.389170546
115	0.4549294509	0.3885094519
116	0.4558263245	0.3881630432
117	0.4567344813	0.3878951192
118	0.4572259733	0.3877009954
119	0.4585054045	0.3871352097
120	0.459384759	0.3868295926
121	0.4603709949	0.3865171298
122	0.4607632164	0.3863787973
123	0.461444747	0.3861107663
124	0.4622550249	0.3856699919
125	0.4625443342	0.3856321702
126	0.4640965063	0.3852642494
127	0.4642153879	0.3848470896
128	0.4650555426	0.3845882879
129	0.4653991307	0.3843149643
130	0.4660906277	0.3839383629
131	0.4671204245	0.3833764494
132	0.4682560943	0.3830224788
133	0.4693997751	0.3827098648
134	0.469899934	0.3823490182
135	0.4704435254	0.3821283653
136	0.4720054172	0.3815976774
137	0.4717751279	0.3813781611
138	0.4721123347	0.3812569473
139	0.472537457	0.3811026258
140	0.4731527488	0.3810235071
141	0.4742436922	0.3807522172
142	0.4749377002	0.3805930114
143	0.4752669039	0.3804135733
144	0.4755670195	0.380256233
145	0.4780408105	0.3796332808
146	0.4787817475	0.3793966264
147	0.4792787037	0.3792679186
148	0.4792787037	0.3790729737
149	0.4794591045	0.3789031058
150	0.4797345258	0.3786592109
151	0.47992474	0.3785172171
152	0.4802143592	0.3784992926
153	0.481065645	0.3781203718
154	0.4816620283	0.3779502714
155	0.4824102791	0.3777838522
156	0.482891754	0.3776172002
157	0.483127368	0.3775690098
158	0.4838612582	0.3773049538
159	0.4846157929	0.3770096036
160	0.4848999522	0.376682102
161	0.4856319298	0.3765008732
162	0.4869125678	0.3760215938
163	0.4880805227	0.3756227822
164	0.4890136072	0.3752540765
165	0.4895452861	0.3748915809
166	0.4902351675	0.3745372226
167	0.4903596818	0.374397791
168	0.4908109633	0.3741204162
169	0.4910559927	0.3739175152
170	0.491957672	0.3737366832
171	0.4930912936	0.3734332978
172	0.4940351372	0.3730070596
173	0.4945047203	0.372792545
174	0.4949208641	0.3726236163
175	0.4964653747	0.3721409828
176	0.4976888873	0.3717970846
177	0.4980052374	0.3716867231
178	0.498189743	0.3714245525
179	0.4995607408	0.3709486339
180	0.4995607099	0.3706932742
181	0.5006848112	0.3703154168
182	0.5014657094	0.3701059886
183	0.5027205392	0.3695904141
184	0.503875969	0.369232315
185	0.5040684624	0.3691413631
186	0.5043569738	0.3690498581
187	0.5047699214	0.3687199441
188	0.5054756356	0.3683807473
189	0.5063317745	0.3681840616
190	0.5068118937	0.3680277425
191	0.5072666783	0.3678797202
192	0.5073362048	0.3678767738
