iter	Passed	Remaining
0	64	44388
1	153	52507
2	252	57684
3	327	55919
4	436	59613
5	538	61247
6	628	61167
7	745	63386
8	846	63843
9	949	64388
10	1056	65028
11	1151	64867
12	1254	65126
13	1354	65214
14	1467	65819
15	1590	66785
16	1695	66938
17	1817	67635
18	1952	68754
19	2047	68379
20	2159	68577
21	2264	68550
22	2367	68446
23	2496	69057
24	2610	69241
25	2698	68700
26	2816	68946
27	2948	69491
28	2976	67646
29	3085	67679
30	3203	67889
31	3304	67732
32	3400	67495
33	3498	67290
34	3604	67251
35	3700	67014
36	3816	67151
37	3853	65915
38	3965	65988
39	4078	66065
40	4170	65811
41	4292	66030
42	4436	66544
43	4562	66784
44	4663	66633
45	4787	66821
46	4814	65660
47	4925	65667
48	5033	65644
49	5133	65508
50	5244	65510
51	5364	65608
52	5487	65748
53	5622	66008
54	5781	66536
55	5947	67117
56	6139	67970
57	6185	67191
58	6355	67758
59	6519	68238
60	6661	68466
61	6782	68480
62	6896	68419
63	7040	68645
64	7173	68752
65	7328	69068
66	7450	69052
67	7572	69047
68	7680	68904
69	7772	68618
70	7906	68710
71	8006	68500
72	8120	68410
73	8237	68349
74	8376	68465
75	8515	68572
76	8631	68494
77	8766	68560
78	8871	68385
79	9005	68440
80	9113	68297
81	9213	68093
82	9347	68132
83	9451	67958
84	9548	67735
85	9639	67475
86	9759	67417
87	9861	67239
88	9978	67158
89	10081	66982
90	10198	66909
91	10322	66868
92	10442	66806
93	10549	66665
94	10667	66585
95	10770	66416
96	10861	66175
97	10966	66025
98	11095	66010
99	11218	65964
100	11331	65858
101	11443	65745
102	11563	65676
103	11678	65579
104	11789	65461
105	11899	65336
106	12001	65165
107	12113	65056
108	12219	64910
109	12331	64796
110	12450	64718
111	12560	64596
112	12660	64422
113	12765	64276
114	12861	64086
115	12956	63888
116	13061	63746
117	13170	63621
118	13282	63512
119	13383	63349
120	13482	63179
121	13588	63043
122	13712	62988
123	13844	62970
124	13966	62906
125	14114	62954
126	14239	62902
127	14363	62840
128	14473	62716
129	14607	62701
130	14718	62579
131	14822	62434
132	14919	62257
133	15043	62194
134	15157	62087
135	15287	62047
136	15391	61904
137	15496	61762
138	15614	61671
139	15725	61552
140	15872	61574
141	15986	61469
142	16089	61320
143	16204	61218
144	16316	61103
145	16420	60958
146	16523	60810
147	16654	60767
148	16782	60709
149	16891	60583
150	17005	60478
151	17114	60350
152	17214	60195
153	17351	60165
154	17486	60130
155	17602	60027
156	17722	59941
157	17852	59885
158	17957	59745
159	18055	59583
160	18168	59472
161	18278	59348
162	18394	59246
163	18508	59135
164	18605	58972
165	18722	58874
166	18842	58784
167	18955	58671
168	19067	58557
169	19174	58425
170	19297	58344
171	19410	58231
172	19513	58088
173	19638	58011
174	19755	57913
175	19861	57777
176	19978	57676
177	20101	57593
178	20214	57481
179	20329	57374
180	20435	57241
181	20551	57136
182	20664	57023
183	20749	56834
184	20858	56713
185	21007	56698
186	21148	56659
187	21269	56568
188	21384	56458
189	21501	56357
190	21630	56284
191	21748	56183
192	21876	56108
193	22006	56038
194	22111	55902
195	22218	55773
196	22343	55688
197	22448	55554
198	22557	55429
199	22668	55310
200	22778	55190
201	22897	55089
202	23020	54999
203	23149	54922
204	23249	54779
205	23360	54658
206	23490	54584
207	23640	54555
208	23789	54522
209	23910	54424
210	24035	54337
211	24159	54244
212	24268	54118
213	24383	54007
214	24511	53924
215	24642	53847
216	24760	53742
217	24870	53619
218	24989	53516
219	25105	53406
220	25216	53284
221	25338	53187
222	25440	53048
223	25564	52955
224	25673	52829
225	25774	52688
226	25867	52533
227	25984	52425
228	26111	52337
229	26232	52235
230	26341	52112
231	26445	51978
232	26572	51890
233	26691	51786
234	26802	51666
235	26919	51557
236	27028	51434
237	27142	51320
238	27251	51195
239	27374	51099
240	27482	50974
241	27592	50852
242	27715	50754
243	27841	50663
244	27955	50547
245	28080	50453
246	28192	50335
247	28302	50214
248	28412	50093
249	28515	49959
250	28622	49833
251	28730	49708
252	28834	49576
253	28952	49469
254	29069	49360
255	29200	49275
256	29312	49158
257	29432	49053
258	29542	48933
259	29662	48829
260	29752	48674
261	29863	48557
262	29988	48460
263	30094	48333
264	30210	48223
265	30334	48125
266	30459	48027
267	30590	47940
268	30720	47850
269	30847	47756
270	30946	47619
271	31069	47517
272	31206	47437
273	31338	47351
274	31444	47223
275	31560	47112
276	31654	46967
277	31763	46845
278	31879	46734
279	31986	46609
280	32105	46501
281	32217	46384
282	32349	46295
283	32458	46173
284	32596	46091
285	32745	46027
286	32856	45907
287	32977	45801
288	33104	45704
289	33236	45613
290	33336	45479
291	33454	45369
292	33569	45255
293	33692	45151
294	33829	45067
295	33979	45000
296	34130	44932
297	34232	44801
298	34351	44691
299	34502	44623
300	34812	44759
301	34955	44678
302	35077	44569
303	35196	44458
304	35324	44357
305	35457	44264
306	35585	44162
307	35694	44038
308	35824	43940
309	35942	43827
310	36055	43707
311	36165	43584
312	36282	43469
313	36402	43358
314	36512	43235
315	36629	43120
316	36732	42990
317	36856	42883
318	36974	42769
319	37085	42648
320	37195	42526
321	37325	42425
322	37448	42317
323	37568	42206
324	37665	42069
325	37776	41947
326	37893	41833
327	38012	41720
328	38141	41619
329	38272	41519
330	38427	41446
331	38543	41330
332	38662	41216
333	38798	41121
334	38920	41011
335	39045	40905
336	39172	40799
337	39278	40673
338	39392	40554
339	39503	40433
340	39611	40308
341	39723	40188
342	39844	40076
343	39958	39958
344	40058	39826
345	40173	39709
346	40294	39597
347	40418	39489
348	40545	39383
349	40662	39268
350	40772	39146
351	40892	39034
352	41012	38921
353	41147	38822
354	41281	38722
355	41399	38608
356	41524	38500
357	41638	38382
358	41799	38306
359	41927	38200
360	42021	38063
361	42120	37931
362	42218	37798
363	42319	37668
364	42429	37547
365	42545	37430
366	42663	37315
367	42787	37206
368	42898	37085
369	43026	36979
370	43136	36858
371	43273	36758
372	43382	36636
373	43492	36515
374	43617	36406
375	43717	36276
376	43836	36162
377	43969	36060
378	44098	35953
379	44226	35846
380	44357	35742
381	44457	35612
382	44602	35519
383	44724	35407
384	44891	35330
385	45015	35219
386	45180	35140
387	45311	35034
388	45432	34920
389	45543	34799
390	45686	34702
391	45833	34609
392	45969	34506
393	46082	34386
394	46186	34260
395	46294	34136
396	46411	34019
397	46532	33905
398	46648	33787
399	46767	33672
400	46895	33563
401	47056	33478
402	47176	33363
403	47304	33253
404	47427	33140
405	47557	33032
406	47692	32927
407	47798	32803
408	47912	32683
409	48012	32554
410	48128	32437
411	48240	32316
412	48348	32193
413	48468	32078
414	48585	31961
415	48704	31845
416	48816	31724
417	48926	31603
418	49050	31490
419	49161	31369
420	49282	31254
421	49417	31149
422	49541	31036
423	49645	30911
424	49775	30802
425	49899	30689
426	50016	30572
427	50134	30455
428	50243	30333
429	50381	30229
430	50500	30112
431	50640	30009
432	50741	29882
433	50886	29781
434	51021	29674
435	51180	29581
436	51307	29469
437	51428	29353
438	51539	29233
